data,R,sd,lo,hi,regione
2020-07-24,0.8594863368336826,0.17323616829686103,0.49346230053258905,1.2931214117839345,Veneto
2020-07-25,0.8713578394765682,0.17542013481659738,0.4998384390588501,1.305238322327749,Veneto
2020-07-26,0.9218207662933166,0.1807312202135057,0.5250081511010956,1.3540491522637275,Veneto
2020-07-27,1.3985811990423627,0.20799050505223257,0.9120017586304169,1.8911386462447837,Veneto
2020-07-28,1.7401406859914401,0.24121321501867182,1.1732282076067573,2.3147622328842945,Veneto
2020-07-29,1.7420473300506352,0.23660523494539848,1.177261583601204,2.315734557633061,Veneto
2020-07-30,1.7938735153915844,0.2360966216397232,1.229211349343504,2.3726281017933863,Veneto
2020-07-31,1.7749343756808604,0.23173102240006024,1.218028057338285,2.3509498325184106,Veneto
2020-08-01,1.7106976418300446,0.21834342406691784,1.1849078296284579,2.2585328985137947,Veneto
2020-08-02,1.6018354810943234,0.20153065280124563,1.1292432166536066,2.1237232386205203,Veneto
2020-08-03,1.2019633822408164,0.17448704075696472,0.8028717121002377,1.665843115301494,Veneto
2020-08-04,1.2935821158796448,0.16213422066507094,0.938191749645292,1.7217791265974276,Veneto
2020-08-05,1.3031901382044369,0.16076237133344967,0.9704502822846356,1.7141950821115015,Veneto
2020-08-06,1.298168407188778,0.15978552961232664,0.9810470407501086,1.7030183011540654,Veneto
2020-08-07,1.2824133545203544,0.15673691939724846,0.9685165782878524,1.683895450850536,Veneto
2020-08-08,1.377101234706544,0.16389030423223833,1.045840441700563,1.7993447037096613,Veneto
2020-08-09,1.399767707542619,0.15950933325568672,1.07135387123956,1.7988932479865558,Veneto
2020-08-10,1.4167187727943822,0.16052788815438784,1.0958501845243707,1.8248126899914479,Veneto
2020-08-11,1.1323867136767878,0.14064218646457743,0.85102835662192,1.4841370071194275,Veneto
2020-08-12,1.2201331666009902,0.14578514198979994,0.9132165064719355,1.588763622698495,Veneto
2020-08-13,1.2399151661914438,0.14270575015795836,0.9326393012371806,1.596356358254561,Veneto
2020-08-14,1.280273846625129,0.14444015737961993,0.9713635141727031,1.6394530419518518,Veneto
2020-08-15,1.2364232853541435,0.13854279112643728,0.9393497661144943,1.5750894014469334,Veneto
2020-08-16,1.2071149586485277,0.1370040553438441,0.9081540008545289,1.538597941712922,Veneto
2020-08-17,1.3183545481409793,0.1351868197081409,1.0173970133644794,1.635186920556817,Veneto
2020-08-18,1.2335124409997502,0.12962685165928903,0.9390398566499992,1.5454764525347737,Veneto
2020-08-19,1.2602806972312888,0.12881797659097352,0.9743750143711514,1.5714465990816444,Veneto
2020-08-20,1.3279226955319456,0.13012561161640196,1.0383194334647625,1.6484464216248755,Veneto
2020-08-21,1.4107416542710995,0.1363927361091479,1.108802338745377,1.7448044283741966,Veneto
2020-08-22,1.4632683353736446,0.13715841096378345,1.1579489882363634,1.79902239138091,Veneto
2020-08-23,1.5421789449803598,0.13825001231717313,1.2368322200167061,1.8891445783441332,Veneto
2020-08-24,1.4007638562196345,0.1309185746107577,1.1065965841382994,1.7300052709660036,Veneto
2020-08-25,1.3597158645667444,0.12516900125821862,1.0760936133435333,1.6666254839421428,Veneto
2020-08-26,1.263775037820832,0.11477382436551276,0.995099015647094,1.5341994005391437,Veneto
2020-08-27,1.1678038365867924,0.10867054083414969,0.9103321497267525,1.4243287825480047,Veneto
2020-08-28,1.0748699912608422,0.10043885351855364,0.8329256479778719,1.3105974584302125,Veneto
2020-08-29,1.0251630240962133,0.09689403400873135,0.7981419968170932,1.2555343343288485,Veneto
2020-08-30,1.0306812915026606,0.09695026858743158,0.8071289052461454,1.2582472011533405,Veneto
2020-08-31,0.998020214052381,0.09413303709269727,0.793948466966581,1.2320239307665346,Veneto
2020-09-01,1.1613909153928315,0.10064127021401015,0.9321985900085572,1.4282690326872172,Veneto
2020-09-02,1.1893016939490384,0.10285554299577845,0.9559834620178671,1.46657623430534,Veneto
2020-09-03,1.2496781848383665,0.10414697908974858,1.015287797388528,1.5219035877043736,Veneto
2020-09-04,1.240199955328365,0.10239624860896135,1.0157386019445416,1.510565156247156,Veneto
2020-09-05,1.2301050626325172,0.1010361175648776,1.0047400598424283,1.4928495249260918,Veneto
2020-09-06,1.1233589975634362,0.09486093328151603,0.9097415744252525,1.3698106607135132,Veneto
2020-09-07,1.1429291948450917,0.09642045394510344,0.9185318305644732,1.385971296151838,Veneto
2020-09-08,0.9975150934836672,0.08829317834703677,0.8070519936464713,1.2104136145232418,Veneto
2020-09-09,0.934371262999498,0.0828481919685006,0.7606796868841286,1.1331268957395755,Veneto
2020-09-10,0.8950550587776661,0.08258354638821615,0.7276294663955706,1.094124024415184,Veneto
2020-09-11,0.8869817970493752,0.08239904408491651,0.7118283307524818,1.0807430507291758,Veneto
2020-09-12,0.9073854874584006,0.08418150788612001,0.7270157575022004,1.1059270371537577,Veneto
2020-09-13,0.9915627070722558,0.08797801051879547,0.8108312655055867,1.1967538656133028,Veneto
2020-09-14,0.9601951407289214,0.0862895060605908,0.7824397576679389,1.1626030587413976,Veneto
2020-09-15,0.9756590036108105,0.0862495481274884,0.7939064313929024,1.1728818492927002,Veneto
2020-09-16,1.0343323033740266,0.09182179458556572,0.8341050975216902,1.245255820081279,Veneto
2020-09-17,1.070233341160953,0.09473783796672874,0.8612567158488738,1.2856223958688702,Veneto
2020-09-18,1.118547618583371,0.0971481575072048,0.9062957286789934,1.3438831346908646,Veneto
2020-09-19,1.1171294263799465,0.09610650902993424,0.9016913613369398,1.3375353312651685,Veneto
2020-09-20,1.09367869916452,0.09467355936984403,0.8732626825916351,1.3191664797100735,Veneto
2020-09-21,1.2274125575868955,0.09999428474080149,1.0060056730979046,1.4583296595994106,Veneto
2020-09-22,1.2200712532740703,0.09923413826969855,0.9952138371580457,1.4565347214042006,Veneto
2020-09-23,1.2168268811657725,0.09692516392144424,1.0067343897466159,1.4537338028447482,Veneto
2020-09-24,1.1784040668221993,0.09231253604080958,0.9742842630338462,1.3996192275387498,Veneto
2020-09-25,1.230212681695334,0.09436880534123641,1.0239869719929533,1.457026126910284,Veneto
2020-09-26,1.226248038160479,0.0946857818570105,1.0256433533088676,1.4559816694657002,Veneto
2020-09-27,1.2061425927048037,0.09124693946665716,1.0181470545895854,1.422182034171757,Veneto
2020-09-28,1.335062236800767,0.09314264836659052,1.1319988055956414,1.5493145163284328,Veneto
2020-09-29,1.2876237716007002,0.09053797325528297,1.0922949683955356,1.4908326737119029,Veneto
2020-09-30,1.2853358576509522,0.08871600970249172,1.089070621889925,1.47961653336419,Veneto
2020-10-01,1.3199178328911418,0.08830040780769687,1.12780987417864,1.5272578031760966,Veneto
2020-10-02,1.3155171557546304,0.08610463984496515,1.12196358660953,1.5110930706470782,Veneto
2020-10-03,1.3164082795060252,0.0838990929741598,1.1248546999483402,1.5038641660946632,Veneto
2020-10-04,1.4257523669179604,0.08772779273292705,1.217441936799832,1.6188592480272648,Veneto
2020-10-05,1.341229113298476,0.08180004933339677,1.1448113074707469,1.5272348191455076,Veneto
2020-10-06,1.5285415206057256,0.08704183227373866,1.3134471528208427,1.7274608387319372,Veneto
2020-10-07,1.6003088302748887,0.0861628198874392,1.3893232804380684,1.7991684217514545,Veneto
2020-10-08,1.613248422590491,0.08454243901003965,1.402682704498217,1.8095555972294886,Veneto
2020-10-09,1.5926144906246738,0.08218408735968825,1.3923863600224557,1.7866113424992343,Veneto
2020-10-10,1.660824723017985,0.08141842793836711,1.4645369267499364,1.8540947900432538,Veneto
2020-10-11,1.663173333199892,0.07927916136968427,1.4739579629243653,1.8555272837261083,Veneto
2020-10-12,1.5722799658656013,0.07392815524175264,1.3975241868116992,1.7560607194498183,Veneto
2020-10-13,1.4708536556441436,0.0671243197921441,1.321261952105729,1.6345612711051059,Veneto
2020-10-14,1.435600488712362,0.06417961995211707,1.2918071732986025,1.591805112631091,Veneto
2020-10-15,1.4688127278381005,0.06294618591895622,1.325937464195038,1.6125850249993559,Veneto
2020-10-16,1.4675224193635206,0.060412789460044476,1.3305478273951703,1.6049691518792741,Veneto
2020-10-17,1.403189566092197,0.057576980863694546,1.2705401802565217,1.5353836212319998,Veneto
2020-10-18,1.5175065763349864,0.057380755059305844,1.3915565553087974,1.6470380950314591,Veneto
2020-10-19,1.60877119628611,0.05748241248510673,1.4788627322013588,1.7312362321476944,Veneto
2020-10-20,1.6871956175211764,0.0578994257429915,1.5476730040167321,1.8153718333079343,Veneto
2020-10-21,1.7567287329652985,0.056830912055324735,1.6206614916975208,1.8866908821648884,Veneto
2020-10-22,1.759282462121709,0.05469534759880622,1.6290036634558445,1.8876208265526953,Veneto
2020-10-23,1.784557621998599,0.054383913085857376,1.6560881427350698,1.9137413971034085,Veneto
2020-10-24,1.8626006901713752,0.05428239298906453,1.7312755871935541,1.9908268848178954,Veneto
2020-10-25,1.7716840127243059,0.04998053070521445,1.6456374015135176,1.88979077453253,Veneto
2020-10-26,1.713185702717931,0.04700571628902907,1.601508986109805,1.8274980093041222,Veneto
2020-10-27,1.7202057889684617,0.043713957186378175,1.6219690625440688,1.826504869926415,Veneto
2020-10-28,1.6665011182215537,0.041445845362252855,1.571841695971784,1.7637592071994315,Veneto
2020-10-29,1.633257061514504,0.03898161502142907,1.5441008234479014,1.7221446913232796,Veneto
2020-10-30,1.597253929341548,0.03684871851615362,1.5106223092179907,1.6797504419148537,Veneto
2020-10-31,1.5697247403324524,0.03497673008235532,1.4949877081951075,1.6514459953935816,Veneto
2020-11-01,1.4825246640332088,0.03306381252323247,1.413556371344722,1.5609659955532784,Veneto
2020-11-02,1.4737539104355688,0.03083512000733796,1.407534378629107,1.549084170727013,Veneto
2020-11-03,1.3799110691485017,0.028592671778515193,1.318791116661665,1.450845136921673,Veneto
2020-11-04,1.3708522239211778,0.02758951405810379,1.3116387559373166,1.4376537009021102,Veneto
2020-11-05,1.373510316404856,0.027087054482870913,1.3155488126570993,1.4404128733035346,Veneto
2020-11-06,1.3738249487212928,0.026351567024847786,1.3188107981957398,1.4400901040922318,Veneto
2020-11-07,1.3484891813943096,0.02519041384863482,1.2926736338605516,1.4103394336911268,Veneto
2020-11-08,1.3309258299091002,0.024286506561672295,1.2768919361979154,1.3931272628324949,Veneto
2020-11-09,1.2844242858948687,0.02401526961470161,1.2283922516625128,1.3442789384911453,Veneto
2020-11-10,1.2443456068672039,0.02316439073922666,1.190526255760187,1.3016587344890405,Veneto
2020-11-11,1.1777713400043968,0.021753952010437415,1.1267028211479155,1.2298680245930609,Veneto
2020-11-12,1.1141495731305435,0.020841011423528795,1.063558934952642,1.1623194127199725,Veneto
2020-11-13,1.085284667360615,0.02047616515840283,1.0361331833417362,1.133500229457939,Veneto
2020-11-14,1.0853176118092498,0.020507371631301653,1.0369999397438112,1.1338836168487227,Veneto
2020-11-15,1.0655452289568124,0.019549262945226773,1.0184258397892942,1.109117798534106,Veneto
2020-11-16,1.0609354567388904,0.019924828217050244,1.0143418582240031,1.1061992186504235,Veneto
2020-11-17,1.04385992565292,0.019556795859230407,0.9971842982251555,1.0858272777055311,Veneto
